image,isbn
https://bookthumb-phinf.pstatic.net/cover/002/521/00252184.jpg?type=m1&udate=20210407,0385480016
https://bookthumb-phinf.pstatic.net/cover/026/734/02673462.jpg?type=m1&udate=20111122,047001461X
https://bookthumb-phinf.pstatic.net/cover/004/967/00496721.jpg?type=m1&udate=20130701,0534172687
https://bookthumb-phinf.pstatic.net/cover/025/144/02514438.jpg?type=m1&udate=20130201,0553383663
https://bookthumb-phinf.pstatic.net/cover/038/579/03857969.jpg?type=m1&udate=20130701,0670899763
https://bookthumb-phinf.pstatic.net/cover/006/067/00606761.jpg?type=m1&udate=20110902,0743455967
https://bookthumb-phinf.pstatic.net/cover/006/614/00661443.jpg?type=m1&udate=20111123,0780311361
https://bookthumb-phinf.pstatic.net/cover/005/599/00559943.jpg?type=m1&udate=20091228,0684832674
https://bookthumb-phinf.pstatic.net/cover/018/430/01843074.jpg?type=m1&udate=20081113,1852338024
https://bookthumb-phinf.pstatic.net/cover/029/027/02902762.jpg?type=m1&udate=20210421,1558602380
https://bookthumb-phinf.pstatic.net/cover/020/962/02096222.jpg?type=m1&udate=20080818,8901054884
https://bookthumb-phinf.pstatic.net/cover/019/371/01937153.jpg?type=m1&udate=20150715,8942003508
https://bookthumb-phinf.pstatic.net/cover/015/178/01517829.jpg?type=m1&udate=20071117,894500601X
https://bookthumb-phinf.pstatic.net/cover/000/218/00021857.jpg?type=m1&udate=20141122,8970505148
https://bookthumb-phinf.pstatic.net/cover/000/697/00069749.jpg?type=m1&udate=20150726,8984471429
https://bookthumb-phinf.pstatic.net/cover/113/641/11364188.jpg?type=m1&udate=20170705,9780062426970
https://bookthumb-phinf.pstatic.net/cover/003/157/00315746.jpg?type=m1&udate=20100206,9780131411555
https://bookthumb-phinf.pstatic.net/cover/016/382/01638270.jpg?type=m1&udate=20120106,9780131480056
https://bookthumb-phinf.pstatic.net/cover/111/732/11173262.jpg?type=m1&udate=20191129,9780262035613
https://bookthumb-phinf.pstatic.net/cover/033/343/03334310.jpg?type=m1&udate=20130115,9780300125771
https://bookthumb-phinf.pstatic.net/cover/070/336/07033647.jpg?type=m1&udate=20161229,9780307720955
https://bookthumb-phinf.pstatic.net/cover/067/360/06736077.jpg?type=m1&udate=20160824,9780307887894
https://bookthumb-phinf.pstatic.net/cover/025/179/02517954.jpg?type=m1&udate=20100206,9780321413093
https://bookthumb-phinf.pstatic.net/cover/072/306/07230642.jpg?type=m1&udate=20200908,9780321637734
https://bookthumb-phinf.pstatic.net/cover/081/720/08172091.jpg?type=m1&udate=20150728,9780385347372
https://bookthumb-phinf.pstatic.net/cover/004/183/00418381.jpg?type=m1&udate=20100123,9780393324426
https://bookthumb-phinf.pstatic.net/cover/026/569/02656975.jpg?type=m1&udate=20111122,9780393329469
https://bookthumb-phinf.pstatic.net/cover/054/095/05409576.jpg?type=m1&udate=20150923,9780393337457
